,Date,High,Low,Open,Close
132,2020-05-13 00:00:00+00:00,1.08964,1.08118,1.08455,1.08212
133,2020-05-14 00:00:00+00:00,1.0824,1.0775,1.082115,1.08062
134,2020-05-15 00:00:00+00:00,1.08511,1.0789,1.080625,1.08199
136,2020-05-17 00:00:00+00:00,1.08233,1.0811,1.08135,1.08189
137,2020-05-18 00:00:00+00:00,1.0927,1.079995,1.08188,1.09141
138,2020-05-19 00:00:00+00:00,1.0976,1.09023,1.0914,1.0926
139,2020-05-20 00:00:00+00:00,1.0999,1.09261,1.09261,1.097985
140,2020-05-21 00:00:00+00:00,1.10083,1.09375,1.097975,1.09492
141,2020-05-22 00:00:00+00:00,1.09537,1.088545,1.094935,1.090035
143,2020-05-24 00:00:00+00:00,1.090835,1.08967,1.0898,1.09082
144,2020-05-25 00:00:00+00:00,1.09145,1.08707,1.09081,1.09017
145,2020-05-26 00:00:00+00:00,1.099585,1.089695,1.09018,1.09786
146,2020-05-27 00:00:00+00:00,1.10307,1.0934,1.09785,1.10167
147,2020-05-28 00:00:00+00:00,1.10935,1.09918,1.10166,1.10782
148,2020-05-29 00:00:00+00:00,1.11452,1.10701,1.10781,1.110075
150,2020-05-31 00:00:00+00:00,1.111965,1.11026,1.111645,1.11158
151,2020-06-01 00:00:00+00:00,1.11539,1.110055,1.111585,1.112545
152,2020-06-02 00:00:00+00:00,1.1196,1.11152,1.11255,1.11852
153,2020-06-03 00:00:00+00:00,1.12578,1.11799,1.11851,1.12351
154,2020-06-04 00:00:00+00:00,1.136235,1.119485,1.12352,1.13356
155,2020-06-05 00:00:00+00:00,1.13837,1.12786,1.13357,1.12921
157,2020-06-07 00:00:00+00:00,1.13197,1.129375,1.12988,1.13162
158,2020-06-08 00:00:00+00:00,1.13185,1.12684,1.131615,1.13043
159,2020-06-09 00:00:00+00:00,1.13638,1.12411,1.130425,1.133235
160,2020-06-10 00:00:00+00:00,1.142235,1.132255,1.13323,1.13669
161,2020-06-11 00:00:00+00:00,1.14036,1.128725,1.1367,1.1288
162,2020-06-12 00:00:00+00:00,1.13405,1.12127,1.12881,1.12561
164,2020-06-14 00:00:00+00:00,1.12583,1.12268,1.123745,1.12518
165,2020-06-15 00:00:00+00:00,1.133815,1.12269,1.125185,1.13377
166,2020-06-16 00:00:00+00:00,1.135335,1.12278,1.133775,1.12651
167,2020-06-17 00:00:00+00:00,1.1294,1.120715,1.1265,1.124205
168,2020-06-18 00:00:00+00:00,1.126145,1.11858,1.12421,1.120785
169,2020-06-19 00:00:00+00:00,1.12544,1.11683,1.12078,1.117725
171,2020-06-21 00:00:00+00:00,1.11878,1.11687,1.118345,1.117675
172,2020-06-22 00:00:00+00:00,1.1281,1.11739,1.117685,1.12779
173,2020-06-23 00:00:00+00:00,1.134855,1.12332,1.12778,1.131275
174,2020-06-24 00:00:00+00:00,1.13258,1.12484,1.131265,1.125
175,2020-06-25 00:00:00+00:00,1.12598,1.11905,1.12501,1.12181
176,2020-06-26 00:00:00+00:00,1.12393,1.11954,1.1218,1.12189
178,2020-06-28 00:00:00+00:00,1.122835,1.121735,1.12236,1.12221
179,2020-06-29 00:00:00+00:00,1.12878,1.12195,1.122215,1.12468
